02-02-2020 15:51:39.728,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4, 347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.68  347.68  347.68  347.68  347.00  347.00  347.00  347.00  347.88  347.88  347.88  347.88  347.00  347.00  347.00  347.00  347.78  347.78  347.78  347.78  347.68  347.68  347.68  347.68  348.18  348.18  348.18  348.18  347.09  347.09  347.09  347.09  347.68  347.68  347.68  347.68  347.78  347.78  347.78  347.78,COM4 - 9600/8/N/1/N,1"
02-02-2020 15:52:05.195,4539,RECV,0A3331372E33300D0A3331372E
02-02-2020 15:52:05.257,4540,RECV,39340D0A3331372E39340D0A3331372E39340D0A3331372E39340D0A3331382E30300D0A3331382E30300D0A3331382E30300D0A3331382E30300D0A3331
02-02-2020 15:52:05.320,4541,RECV,382E34370D0A3331382E34370D0A3331382E34370D0A333138
02-02-2020 15:52:05.445,4542,RECV,0A3332332E39300D0A3332332E39300D0A3332332E39300D0A3332332E39300D0A3332342E36350D0A3332342E36350D0A3332342E36
02-02-2020 15:52:05.507,4543,RECV,350D0A3332342E36350D0A3331362E30320D0A3331362E30320D0A3331362E30320D0A3331362E30320D0A3331352E35330D0A3331352E35330D0A333135
02-02-2020 15:52:05.586,4544,RECV,2E35330D0A3331352E35330D0A3331352E35330D0A3331352E35330D0A3331352E35330D0A3331352E35330D0A3331352E35330D0A3331352E35330D0A
02-02-2020 15:52:05.633,4545,RECV,3331352E35330D0A3331352E35330D0A3331352E35330D0A3331352E35330D0A3331352E35330D0A3331322E36380D0A3331332E31370D0A
02-02-2020 15:52:05.710,4546,RECV,3331332E31370D0A3331332E31370D0A3331322E36370D0A3331322E37390D0A3331322E37390D0A3331322E37390D0A3331322E31370D0A3331322E3137
02-02-2020 15:52:05.758,4547,RECV,0D0A3331322E31370D0A3331322E31370D0A3331322E31370D0A3331322E31370D0A3331322E31370D0A3331322E31370D0A3331322E38380D0A333132
02-02-2020 15:52:05.820,4548,RECV,2E38380D0A3331322E38380D0A3331322E38380D0A3331322E37350D0A3331322E37350D0A3331322E37350D
02-02-2020 15:52:05.945,4549,RECV,2E32380D0A3332312E37320D0A3332312E37320D0A3332312E37320D0A3332
02-02-2020 15:52:06.007,4550,RECV,312E37320D0A3331372E32300D0A3331372E32300D0A3331372E32300D0A3331372E32300D0A3331382E31380D0A3331382E31380D0A3331382E31380D
02-02-2020 15:52:06.070,4551,RECV,0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31
02-02-2020 15:52:06.148,4552,RECV,380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31
02-02-2020 15:52:06.195,4553,RECV,380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3332312E36300D0A333231
02-02-2020 15:52:06.273,4554,RECV,2E36300D0A3332312E36300D0A3332312E36300D0A3332312E35310D0A3332312E35310D0A3332312E35310D0A3332312E35310D0A3332312E31360D0A
02-02-2020 15:52:06.320,4555,RECV,3332312E31360D0A3332312E31360D0A3332312E31360D0A3332302E38390D0A3332302E38390D0A3332302E38390D0A3332302E38390D0A3332302E3039
02-02-2020 15:52:06.382,4556,RECV,0D0A333230
02-02-2020 15:52:06.445,4557,RECV,0A3331382E33390D
02-02-2020 15:52:06.507,4558,RECV,0A3331382E33390D0A3331372E36300D0A3331372E36300D0A3331372E36300D0A3331372E36300D0A3332332E33310D0A3332332E33310D0A3332332E
02-02-2020 15:52:06.570,4559,RECV,33310D0A3332332E33310D0A3332332E33310D0A3332332E33310D0A3332332E33310D0A3332332E33310D0A3332332E33310D0A3332332E33310D0A3332
02-02-2020 15:52:06.632,4560,RECV,332E33310D0A3332332E33310D0A3332332E33310D0A3332332E33310D0A3332332E33310D0A3332332E33310D0A3332332E33310D0A3332332E33310D
02-02-2020 15:52:06.710,4561,RECV,0A3332332E33310D
02-02-2020 15:52:06.758,4562,RECV,2E39370D0A3331322E39370D0A3331322E39370D0A
02-02-2020 15:52:06.851,4563,RECV,3331322E39370D0A3331332E31390D0A3331332E31390D0A3331332E31390D0A3331332E31390D0A3331332E36330D0A3331332E36330D0A3331332E36
02-02-2020 15:52:06.883,4564,RECV,330D0A3331332E36330D0A3331332E39360D
02-02-2020 15:52:07.008,4565,RECV,2E38380D0A3331352E38380D0A3331352E38380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A33
02-02-2020 15:52:07.070,4566,RECV,31362E35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E35380D0A3331362E3538
